,abbrev,full,freq,most_freq
2444,Fisiconucl.,"['Fisiconucleare', 'Fisiconucleare']",{'Fisiconucleare': 1.0},Fisiconucleare
2445,Fisiol,"['fisiologia', 'fisiologia', 'fisiologia', 'fisiologia']",{'fisiologia': 1.0},fisiologia
2446,Fisiol.,"['Fisiologia', 'Fisiologia']",{'Fisiologia': 1.0},Fisiologia
2447,Fisiopatol,"['fisiopatologia', 'fisiopatologia']",{'fisiopatologia': 1.0},fisiopatologia
2448,Fisiopatol.,['Fisiopatologia'],{'Fisiopatologia': 1.0},Fisiopatologia
2449,Fisioter,"['fisioterapica', 'fisioterapica']",{'fisioterapica': 1.0},fisioterapica
2450,Fit,['fitness'],{'fitness': 1.0},fitness
2451,Fitness,['fitness'],{'fitness': 1.0},fitness
2452,Fiz,"['fizyczna', 'fizicheskoi', 'fiziologii', 'fizicheskoi', 'Fiziki']","{'fizyczna': 0.2, 'fizicheskoi': 0.4, 'fiziologii': 0.2, 'Fiziki': 0.2}",fizicheskoi
2453,Fiz.,"['Fizika', 'Rossíiskaya', 'Fizika', 'Fizika', 'Fiziki', 'Nauk', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizicheskaya', 'Fizicheskaya', 'Fizika', 'Fizika', 'Fizikos', 'Fizika', 'Fizika', 'Fizichnii', 'Fizicheskii', 'Fizika', 'Fizika', 'Fizika', 'Fiziki', 'Fizicheskoi', 'Fiziki', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Fizika', 'Teoreticheskoi', 'Fizicheskoi', 'Fiziologii', 'Fizicheskoi', 'Fizika', 'Fiziki', 'Fizika', 'Fizika', 'Fizicheskii']","{'Fizika': 0.6046511627906976, 'Rossíiskaya': 0.023255813953488372, 'Fiziki': 0.09302325581395349, 'Nauk': 0.023255813953488372, 'Fizicheskaya': 0.046511627906976744, 'Fizikos': 0.023255813953488372, 'Fizichnii': 0.023255813953488372, 'Fizicheskii': 0.046511627906976744, 'Fizicheskoi': 0.06976744186046512, 'Teoreticheskoi': 0.023255813953488372, 'Fiziologii': 0.023255813953488372}",Fizika
2454,Fiz.-Energ.,['Fizika-Energetychnykh'],{'Fizika-Energetychnykh': 1.0},Fizika-Energetychnykh
2455,Fiz.-Khim.,['Fiziko-Khimicheskaya'],{'Fiziko-Khimicheskaya': 1.0},Fiziko-Khimicheskaya
2456,Fiz.-Mat.,"['Fiziko-Matematichesko', 'Fiziko-Matematicheskii', 'Fiziko-Matematicheskoe', 'Fiziko-Matematicheskaya', 'Fiziko-Matematicheskie', 'Fiziko-Matematicheskie']","{'Fiziko-Matematichesko': 0.16666666666666666, 'Fiziko-Matematicheskii': 0.16666666666666666, 'Fiziko-Matematicheskoe': 0.16666666666666666, 'Fiziko-Matematicheskaya': 0.16666666666666666, 'Fiziko-Matematicheskie': 0.3333333333333333}",Fiziko-Matematicheskie
2457,Fiz.-Tekh.,['Fiziko-Tekhnicheskie'],{'Fiziko-Tekhnicheskie': 1.0},Fiziko-Tekhnicheskie
2458,Fiziol,"['fiziologiia', 'Fiziologicheskii', 'Fiziologicheskii', 'Fiziologiia', 'Fiziolohichnyi', 'fiziologii', 'fiziologiia', 'fiziologicheskoe', 'fiziologicheskikh', 'fiziologii', 'fiziologii']","{'fiziologiia': 0.18181818181818182, 'Fiziologicheskii': 0.18181818181818182, 'Fiziologiia': 0.09090909090909091, 'Fiziolohichnyi': 0.09090909090909091, 'fiziologii': 0.2727272727272727, 'fiziologicheskoe': 0.09090909090909091, 'fiziologicheskikh': 0.09090909090909091}",fiziologii
2459,Fiziol.,"['Fiziologichno', 'Fiziologiya', 'Fiziologiya', 'Fiziologii', 'Fiziologicheskii', 'Fiziologicheskii', 'Fiziologicheskii', 'Fiziologichnyi', 'Fiziologiia', 'Fiziologiia', 'Fiziologicheskii', 'Fiziologicheskikh', 'Fiziologii']","{'Fiziologichno': 0.07692307692307693, 'Fiziologiya': 0.15384615384615385, 'Fiziologii': 0.15384615384615385, 'Fiziologicheskii': 0.3076923076923077, 'Fiziologichnyi': 0.07692307692307693, 'Fiziologiia': 0.15384615384615385, 'Fiziologicheskikh': 0.07692307692307693}",Fiziologicheskii
2460,Fizioter,['fizioterapii'],{'fizioterapii': 1.0},fizioterapii
2461,Fizioter.,['Fizioterapii'],{'Fizioterapii': 1.0},Fizioterapii
2462,Fla,"['Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida']",{'Florida': 1.0},Florida
2463,Fla.,"['Florida', 'Florida', 'Florida', 'Florida']",{'Florida': 1.0},Florida
2464,Flashes,['flashes'],{'flashes': 1.0},flashes
2465,Flex.,['Flexible'],{'Flexible': 1.0},Flexible
2466,Flight,['flight'],{'flight': 1.0},flight
2467,Flintknappers,"[""Flintknappers'""]","{""Flintknappers'"": 1.0}",Flintknappers'
2468,Floor,['floor'],{'floor': 1.0},floor
2469,Florist.,"['Floristische', 'Floristische']",{'Floristische': 1.0},Floristische
2470,Florist.-soziol.,['Floristisch-soziologischen'],{'Floristisch-soziologischen': 1.0},Floristisch-soziologischen
2471,Flow,['flow'],{'flow': 1.0},flow
2472,Fluctuation,['Fluctuations'],{'Fluctuations': 1.0},Fluctuations
2473,Fluency,['fluency'],{'fluency': 1.0},fluency
2474,Flugwiss.,['Flugwissenschaften'],{'Flugwissenschaften': 1.0},Flugwissenschaften
2475,Fluid,"['fluid', 'fluid', 'fluid', 'fluid']",{'fluid': 1.0},fluid
2476,Fluid/Part.,['Fluid/Particle'],{'Fluid/Particle': 1.0},Fluid/Particle
2477,Fluids,['B/Fluids'],{'B/Fluids': 1.0},B/Fluids
2478,Fluor,['fluorine'],{'fluorine': 1.0},fluorine
2479,Fluoresc,['fluorescence'],{'fluorescence': 1.0},fluorescence
2480,Fluoresc.,"['Fluorescence', 'Fluorescence']",{'Fluorescence': 1.0},Fluorescence
2481,Fluorid,['Fluoridation'],{'Fluoridation': 1.0},Fluoridation
2482,Fluorid.,['Fluoridation'],{'Fluoridation': 1.0},Fluoridation
2483,Flurbereinig.,['Flurbereinigung'],{'Flurbereinigung': 1.0},Flurbereinigung
2484,Fluss.,['Flussiges'],{'Flussiges': 1.0},Flussiges
2485,Focus,"['focus', 'focus', 'focus', 'focus', 'focus', 'Focused', 'focus', 'Focus.']","{'focus': 0.75, 'Focused': 0.125, 'Focus.': 0.125}",focus
2486,Focus.,"['Care', 'Focused']","{'Care': 0.5, 'Focused': 0.5}",Care
2487,Foetal,['foetal'],{'foetal': 1.0},foetal
2488,Fogorv,['Fogorvosi'],{'Fogorvosi': 1.0},Fogorvosi
2489,Fogorv.,['Fogorvosi'],{'Fogorvosi': 1.0},Fogorvosi
2490,Foie,['foie'],{'foie': 1.0},foie
2491,Fol,['Folia'],{'Folia': 1.0},Folia
2492,Fold,"['Folding', 'Folding']",{'Folding': 1.0},Folding
2493,Fold.,"['Folding', 'Folding']",{'Folding': 1.0},Folding
2494,Foldr,['Foldrajzi'],{'Foldrajzi': 1.0},Foldrajzi
2495,Folia,"['medica', 'folia', 'folia']","{'medica': 0.3333333333333333, 'folia': 0.6666666666666666}",folia
2496,Folio,['folio'],{'folio': 1.0},folio
2497,Folk,"['folklore', 'folklore', 'folklore', 'Folklore', 'folk-lore', 'folklore']","{'folklore': 0.6666666666666666, 'Folklore': 0.16666666666666666, 'folk-lore': 0.16666666666666666}",folklore
2498,Folkl,"['folklore', 'Folklore', 'Folklore', 'Folklore', 'Folklore', 'folklore', 'folklore', 'folklore']","{'folklore': 0.5, 'Folklore': 0.5}",folklore
2499,Folklife,"['folklife', 'folklife']",{'folklife': 1.0},folklife
2500,Folklor,['folklore'],{'folklore': 1.0},folklore
2501,Foly.,"['Folyoirat', 'Folyoirat']",{'Folyoirat': 1.0},Folyoirat
2502,Fom,['fomento'],{'fomento': 1.0},fomento
2503,Fond.,"['Fondazione', 'Fonctionnels', 'Louis', 'Fondazione']","{'Fondazione': 0.5, 'Fonctionnels': 0.25, 'Louis': 0.25}",Fondazione
2504,Fondam.,['Fondamentales:'],{'Fondamentales:': 1.0},Fondamentales:
2505,Food,"['food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food']",{'food': 1.0},food
2506,Foodserv,['foodservice'],{'foodservice': 1.0},foodservice
2507,Foodserv.,['Foodservice'],{'Foodservice': 1.0},Foodservice
2508,Foodways,['foodways'],{'foodways': 1.0},foodways
2509,Foot,['foot'],{'foot': 1.0},foot
2510,For,['Forest'],{'Forest': 1.0},Forest
2511,For.,"['Forestalia', 'Forestalis', 'Forest', 'Forest', 'Forestali', 'Forest', 'Forest', 'Forêts', 'Forestry', 'Forest', 'Forests', 'Forester', 'Forestry', 'Forestalis', 'Forest', 'Forest', 'Forestry', 'Forestalia', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forest', 'Forestry', 'Forestry', 'Forestry', 'Forêt', 'Forêts', 'Forêts', 'Forest', 'Forest', 'Forest', 'Forestry', 'Forestry', 'Forestry', 'Forestry', 'Forester', 'Forests', 'Forest', 'Forestry', 'Forest', 'Forest', 'Forest', 'Forest', 'Forestry', 'Forest', 'Forest', 'Forestry', 'Forest', 'for', 'Forest', 'Forestry', 'Forestry', 'Forestry']","{'Forestalia': 0.03389830508474576, 'Forestalis': 0.03389830508474576, 'Forest': 0.4915254237288136, 'Forestali': 0.01694915254237288, 'Forêts': 0.05084745762711865, 'Forestry': 0.2711864406779661, 'Forests': 0.03389830508474576, 'Forester': 0.03389830508474576, 'Forêt': 0.01694915254237288, 'for': 0.01694915254237288}",Forest
2512,Force,"['Force.', 'Force.', 'Force.', 'Force.', 'Force.', 'Force.']",{'Force.': 1.0},Force.
2513,Forces,['forces'],{'forces': 1.0},forces
2514,Forecast,"['forecast', 'forecasting', 'forecasting', 'forecasting']","{'forecast': 0.25, 'forecasting': 0.75}",forecasting
2515,Forecast.,"['Forecasting', 'Forecasting']",{'Forecasting': 1.0},Forecasting
2516,Foreign,['foreign'],{'foreign': 1.0},foreign
2517,Foren,"['forenings', 'foreningens']","{'forenings': 0.5, 'foreningens': 0.5}",forenings
2518,Foren.,['Foreningens'],{'Foreningens': 1.0},Foreningens
2519,Forensic,"['forensic', 'forensic', 'forensic', 'forensic', 'forensic', 'forensic', 'forensic', 'forensic', 'forensic', 'forensic']",{'forensic': 1.0},forensic
2520,Forensic.,['Forensic'],{'Forensic': 1.0},Forensic
2521,Forh,['forhandlingar'],{'forhandlingar': 1.0},forhandlingar
2522,Forlanini,"['Forlanini""""""']","{'Forlanini""""""': 1.0}","Forlanini"""""""
2523,Form.,"['Forming', 'Formation', 'Formation', 'Formal', 'Forming', 'Formal', 'Forming']","{'Forming': 0.42857142857142855, 'Formation': 0.2857142857142857, 'Formal': 0.2857142857142857}",Forming
2524,Formaliz.,['Formalized'],{'Formalized': 1.0},Formalized
2525,Formos,['Formosan'],{'Formosan': 1.0},Formosan
2526,Formul,['formulary'],{'formulary': 1.0},formulary
2527,Formul.,['Formulary'],{'Formulary': 1.0},Formulary
2528,Forsch,"['Forschung', 'Forschungen', 'Forschungen', 'Forschende', 'Forschungen', 'Forschungen', 'Sozialforschung', 'Forschungen', 'Forschung', 'Forschungen', 'Forschung', 'Forschung', 'Forschungen', '-Forschung', 'Forschung']","{'Forschung': 0.3333333333333333, 'Forschungen': 0.4666666666666667, 'Forschende': 0.06666666666666667, 'Sozialforschung': 0.06666666666666667, '-Forschung': 0.06666666666666667}",Forschungen
2529,Forsch.,"['Forschung', 'Forschung', 'Forschung', 'Forschung', 'Forschung', 'Forschung', 'Forschung', 'Schadstoff-Forschung', 'Forschung', '-Forschung', 'Forschung', 'Forschung', 'Forschende', 'Forschende', 'Forschung', 'Forschung', '-Forschung', 'Forschung', 'Forschungen.', 'Forschung', 'Forschungen', 'Forschung', 'Hochpolymoren-Forschung', 'Forschung', 'Forschung']","{'Forschung': 0.68, 'Schadstoff-Forschung': 0.04, '-Forschung': 0.08, 'Forschende': 0.08, 'Forschungen.': 0.04, 'Forschungen': 0.04, 'Hochpolymoren-Forschung': 0.04}",Forschung
2530,Forsch.anst.,"['Forschungsanstalt', 'Forschungsanstalt', 'Forschungsanstalt', 'Forschungsanstalt']",{'Forschungsanstalt': 1.0},Forschungsanstalt
2531,Forsch.ber.,"['Forschungsbericht', 'Forschungsberichte']","{'Forschungsbericht': 0.5, 'Forschungsberichte': 0.5}",Forschungsbericht
2532,Forsch.bereiches,"['Forschungsbereiches', 'Forschungsbereiches']",{'Forschungsbereiches': 1.0},Forschungsbereiches
2533,Forsch.ergeb.,['Forschungsergebnisse'],{'Forschungsergebnisse': 1.0},Forschungsergebnisse
2534,Forsch.zent.,['Forschungszentrums'],{'Forschungszentrums': 1.0},Forschungszentrums
2535,"Forschungsergeb.""","['Forschungsergebnisse""']","{'Forschungsergebnisse""': 1.0}","Forschungsergebnisse"""
2536,Forschungsh.,['Forschungshefte'],{'Forschungshefte': 1.0},Forschungshefte
2537,Forschungstech.,['Forschungstechnologie'],{'Forschungstechnologie': 1.0},Forschungstechnologie
2538,Forsk.,['Forskning'],{'Forskning': 1.0},Forskning
2539,Forst.wes.,['Forstwesen'],{'Forstwesen': 1.0},Forstwesen
2540,Forstgenet.,['Forstgenetik'],{'Forstgenetik': 1.0},Forstgenetik
2541,Forstl.,"['Forstliche', 'Forstliche', 'Forstliche', 'Forstliche', 'Forstliche', 'Forstlichen', 'Forstlichen', 'Forstlichen']","{'Forstliche': 0.625, 'Forstlichen': 0.375}",Forstliche
2542,Forstl.-nat.wiss.,['Forstlich-naturwissenschaftliche'],{'Forstlich-naturwissenschaftliche': 1.0},Forstlich-naturwissenschaftliche
2543,Forstpflanzenzücht.,"['Forstpflanzenzüchtung', 'Forstpflanzenzüchtung']",{'Forstpflanzenzüchtung': 1.0},Forstpflanzenzüchtung
2544,Forstplan.,"['Forstplanung', 'Forstplanung']",{'Forstplanung': 1.0},Forstplanung
2545,Forsttech.,"['Forsttechnische', 'Forsttechnik']","{'Forsttechnische': 0.5, 'Forsttechnik': 0.5}",Forsttechnische
2546,Forstwes.,"['Forstwesen', 'Forstwesen']",{'Forstwesen': 1.0},Forstwesen
2547,Forstwirtsch.,['Forstwirtschaft'],{'Forstwirtschaft': 1.0},Forstwirtschaft
2548,Forstwiss.,['Forstwissenschaftliches'],{'Forstwissenschaftliches': 1.0},Forstwissenschaftliches
2549,Forstztg.,['Forstzeitung'],{'Forstzeitung': 1.0},Forstzeitung
2550,Fortbild,"['arztliche', 'arztliche']",{'arztliche': 1.0},arztliche
2551,Fortbild.,"['Arztliche', 'Arztliche']",{'Arztliche': 1.0},Arztliche
2552,Fortpflanz,['Fortpflanzung'],{'Fortpflanzung': 1.0},Fortpflanzung
2553,Fortschr,"['Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte']",{'Fortschritte': 1.0},Fortschritte
2554,Fortschr.,"['Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte', 'Fortschritte']",{'Fortschritte': 1.0},Fortschritte
2555,Fortschrittsber.,['Fortschriftsberiche'],{'Fortschriftsberiche': 1.0},Fortschriftsberiche
2556,Forum,"['forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'newsletter', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum', 'forum']","{'forum': 0.9787234042553191, 'newsletter': 0.02127659574468085}",forum
2557,Forward,['forward'],{'forward': 1.0},forward
2558,Forêt,['forêt'],{'forêt': 1.0},forêt
2559,Fotogr.,['Fotografii'],{'Fotografii': 1.0},Fotografii
2560,Found,"['foundations', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation']","{'foundations': 0.07142857142857142, 'Foundation': 0.9285714285714286}",Foundation
2561,Found.,"['Foundations', 'Foundations', 'Foundations', 'Poznań', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundation', 'Foundations', 'Foundation', 'Foundational', '""Foundations', '""Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundation', 'Foundation', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundations', 'Foundation', 'Foundation', 'Foundations', 'Foundation']","{'Foundations': 0.5116279069767442, 'Poznań': 0.023255813953488372, 'Foundation': 0.3953488372093023, 'Foundational': 0.023255813953488372, '""Foundations': 0.046511627906976744}",Foundations
2562,Fr,"['France', 'francaise', 'francaises', 'francaises', 'francaises', 'French', 'France', 'francais', ""l'Ecole"", 'France', 'French', 'francaise', 'FAR', 'France', 'French', 'French', 'France', 'francais', 'francais', 'francais', 'francais', 'francaise', 'France', 'francaises', 'francaise', 'francais', 'francaise', 'French', 'Francaise', 'France', 'francaise', 'France', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaise', 'francaises', 'French', 'francesi']","{'France': 0.16, 'francaise': 0.42, 'francaises': 0.1, 'French': 0.12, 'francais': 0.12, ""l'Ecole"": 0.02, 'FAR': 0.02, 'Francaise': 0.02, 'francesi': 0.02}",francaise
2563,Fr.,"['Francaises', 'France', 'France', 'Mathématique', 'France', 'France', 'France', 'France', 'France', 'France', 'France', 'France', 'Francaise', 'IV', 'France', 'Francaise', 'Francaises', 'Francaises', 'Francaise', 'France', 'France', 'France', 'France', 'Francaise', 'Francais', 'Francais', 'Francais', 'Francais', 'Francais', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise', 'Francaise']","{'Francaises': 0.06382978723404255, 'France': 0.3191489361702128, 'Mathématique': 0.02127659574468085, 'Francaise': 0.46808510638297873, 'IV': 0.02127659574468085, 'Francais': 0.10638297872340426}",Francaise
2564,Fract.,"['Fractals', 'Fractional', 'Fracture', 'Fracture', 'Fractional', 'Fractional', 'Fractional', 'Fractional', 'Fracture', 'Fracture']","{'Fractals': 0.1, 'Fractional': 0.5, 'Fracture': 0.4}",Fractional
2565,Fractals,['fractals'],{'fractals': 1.0},fractals
2566,Fragance,['Fragrance'],{'Fragrance': 1.0},Fragrance
2567,Franc.,['Francisco'],{'Francisco': 1.0},Francisco
2568,Francaise,['francaise'],{'francaise': 1.0},francaise
2569,France,['Mathématique'],{'Mathématique': 1.0},Mathématique
2570,Frankf,"['Psychologie', 'Frankfurter']","{'Psychologie': 0.5, 'Frankfurter': 0.5}",Psychologie
2571,Frankf.,"['Frankfurt', 'Frankfurt', 'Psychologie']","{'Frankfurt': 0.6666666666666666, 'Psychologie': 0.3333333333333333}",Frankfurt
2572,Franklin,['the'],{'the': 1.0},the
2573,Frankurt,['Frankfurt'],{'Frankfurt': 1.0},Frankfurt
2574,Frauenheilkd,['Frauenheilkunde'],{'Frauenheilkunde': 1.0},Frauenheilkunde
2575,Frauenheilkd.,['Frauenheilkunde'],{'Frauenheilkunde': 1.0},Frauenheilkunde
2576,Frederick,['manager'],{'manager': 1.0},manager
2577,Free,['free'],{'free': 1.0},free
2578,Freib,['Freiburger'],{'Freiburger': 1.0},Freiburger
2579,Freiberg.,['Freiberger'],{'Freiberger': 1.0},Freiberger
2580,Freibg.,"['Freiburger', 'Freiburger', 'Freiburger', 'Freiburger', 'Freiburger', 'Freiburg', 'Freiburg', 'Freiburg']","{'Freiburger': 0.625, 'Freiburg': 0.375}",Freiburger
2581,Freie,['freie'],{'freie': 1.0},freie
2582,Freniatr,['freniatria'],{'freniatria': 1.0},freniatria
2583,Freq,['frequency'],{'frequency': 1.0},frequency
2584,Freq.,"['Frequency', 'Frequency', 'Frequency', 'Frequency', 'Frequency', 'Frequency']",{'Frequency': 1.0},Frequency
2585,Fresenius,"[""Fresenius'""]","{""Fresenius'"": 1.0}",Fresenius'
2586,Fresenius.,"[""Fresenius'""]","{""Fresenius'"": 1.0}",Fresenius'
2587,Freshw,['Freshwater'],{'Freshwater': 1.0},Freshwater
2588,Fresno,"['Society', 'Society']",{'Society': 1.0},Society
2589,Freud,['freudiennes'],{'freudiennes': 1.0},freudiennes
2590,Freunde,['Hochschule'],{'Hochschule': 1.0},Hochschule
2591,Frict.,['Friction'],{'Friction': 1.0},Friction
2592,Frieden,"[""Frieden''""]","{""Frieden''"": 1.0}",Frieden''
2593,Friedrich,['Schlesischen'],{'Schlesischen': 1.0},Schlesischen
2594,Front,"['Frontier', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers']","{'Frontier': 0.07692307692307693, 'Frontiers': 0.9230769230769231}",Frontiers
2595,Front.,"['Frontiers', 'Frontiers', 'Frontiers', 'Frontier', 'Frontiers', 'Frontier', 'Frontier', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontier', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers', 'Frontiers']","{'Frontiers': 0.875, 'Frontier': 0.125}",Frontiers
2596,Frontier,['frontier'],{'frontier': 1.0},frontier
2597,Fruhmittelalt,['Fruhmittelalterliche'],{'Fruhmittelalterliche': 1.0},Fruhmittelalterliche
2598,Frühgesch.,['Frühgeschichte'],{'Frühgeschichte': 1.0},Frühgeschichte
2599,Fu,['fu'],{'fu': 1.0},fu
2600,Fullerenes,['Fullerence'],{'Fullerence': 1.0},Fullerence
2601,Funct,"['function', 'functional', 'function', 'function', 'functional', 'functional', 'Functional', 'Functional', 'Functional', 'function', 'functional', 'functional', 'Functional']","{'function': 0.3076923076923077, 'functional': 0.38461538461538464, 'Functional': 0.3076923076923077}",functional
2602,Funct.,"['Functional', 'Function', 'Function', 'Functional', 'Functional', 'Function', 'Functional', 'Functional', 'Functional', 'Functions', 'Functional', 'Functional', 'Functional', 'Functional', 'Functional', 'Functional', 'Functional', 'Function', 'Functional', 'Function', 'Functional', 'Function', 'Functional', 'Functional', 'Functional', 'Functional', 'Functional', 'Function', 'Functional', 'Functional', 'Function', 'Functional', 'Functional', 'Function', 'Functions', 'Functional', 'Functional', 'Functional', 'FUnction', 'Functional']","{'Functional': 0.7, 'Function': 0.225, 'Functions': 0.05, 'FUnction': 0.025}",Functional
2603,Fund,['la'],{'la': 1.0},la
2604,Fund.,"['Fundamenta', 'Fundamenta', 'Fundamental', 'la', 'Fundamental']","{'Fundamenta': 0.4, 'Fundamental': 0.4, 'la': 0.2}",Fundamenta
2605,Fundam,"['fundamental', 'Fundamenta', 'Fundamental', 'Fundamental']","{'fundamental': 0.25, 'Fundamenta': 0.25, 'Fundamental': 0.5}",Fundamental
2606,Fundam.,"['Fundamental', 'Fundamental', 'Fundamental', 'Fundamentals', 'Fundamental', 'Fundamental', 'Fundamental', 'Fundamental', 'Fundamental', 'Fundamentalnaya', 'Fundamentals', 'Fundamental', 'Fundamentalnye', 'Fundamentals']","{'Fundamental': 0.6428571428571429, 'Fundamentals': 0.21428571428571427, 'Fundamentalnaya': 0.07142857142857142, 'Fundamentalnye': 0.07142857142857142}",Fundamental
2607,Futur.,['Futures'],{'Futures': 1.0},Futures
2608,Futures,"['futures', 'futures']",{'futures': 1.0},futures
2609,Fysiatr,"['Fysiatricky', 'Fysiatricky', 'fysiatricka']","{'Fysiatricky': 0.6666666666666666, 'fysiatricka': 0.3333333333333333}",Fysiatricky
2610,Fysiatr.,['Fysiatricky'],{'Fysiatricky': 1.0},Fysiatricky
2611,Fysiol.,['Fysiologie'],{'Fysiologie': 1.0},Fysiologie
2612,Fyz,['fyzikalni'],{'fyzikalni': 1.0},fyzikalni
2613,Féd.,['Fédérale'],{'Fédérale': 1.0},Fédérale
2614,Fís.,"['de', 'Física']","{'de': 0.5, 'Física': 0.5}",de
2615,Für,"['für', 'für']",{'für': 1.0},für
2616,G,"['Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Great', 'Guinea', 'Great']","{'Giornale': 0.9032258064516129, 'Great': 0.06451612903225806, 'Guinea': 0.03225806451612903}",Giornale
2617,G.,"['Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Giornale', 'Guinea']","{'Giornale': 0.9565217391304348, 'Guinea': 0.043478260869565216}",Giornale
2618,GAMM-Mitt.,['GAMM-Mitteilungen'],{'GAMM-Mitteilungen': 1.0},GAMM-Mitteilungen
2619,GEM,['GEM.'],{'GEM.': 1.0},GEM.
2620,GLQ,['Glq'],{'Glq': 1.0},Glq
2621,GMD-Ber.,['GMD-Berichte'],{'GMD-Berichte': 1.0},GMD-Berichte
2622,GMDA,['Gmda'],{'Gmda': 1.0},Gmda
2623,Ga,"['Georgia', 'Georgia', 'Georgia', 'Georgia', 'Ga.', 'Georgia']","{'Georgia': 0.8333333333333334, 'Ga.': 0.16666666666666666}",Georgia
2624,Ga.,"['Georgia', 'Georgia']",{'Georgia': 1.0},Georgia
2625,Gac,"['Gaceta', 'Gaceta', 'Gaceta', 'Gaceta', 'Gaceta']",{'Gaceta': 1.0},Gaceta
2626,Gac.,"['Gaceta', 'Gaceta', 'Gaceta']",{'Gaceta': 1.0},Gaceta
2627,Gakugei,['Tokyo'],{'Tokyo': 1.0},Tokyo
2628,Galaxy,['galaxy'],{'galaxy': 1.0},galaxy
2629,Galdeano,"[""Galdeano''""]","{""Galdeano''"": 1.0}",Galdeano''
2630,Gallen,['Gallischen'],{'Gallischen': 1.0},Gallischen
2631,Gallische,['Gallischen'],{'Gallischen': 1.0},Gallischen
2632,Games,['games'],{'games': 1.0},games
2633,Gaming,['gaming'],{'gaming': 1.0},gaming
2634,Ganka,['ganka'],{'ganka': 1.0},ganka
